step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,0.5,0,1,1,0.0,6.466864109039307,6.466944217681885
1,0.5,1,1,2,1.0,0.4051806926727295,6.872957468032837
2,0.5,2,1,3,2.0,0.38570356369018555,7.258734703063965
3,0.5,2,2,4,1.0,0.2409505844116211,7.499799966812134
4,0.5,3,2,5,1.5,0.4184236526489258,7.918348073959351
5,0.5,3,3,6,1.0,0.3108398914337158,8.229352712631226
6,0.5,4,3,7,1.3333333333333333,0.4354586601257324,8.664885759353638
7,0.5,5,3,8,1.6666666666666667,0.47000861167907715,9.134969472885132
8,0.5,5,3,9,1.6666666666666667,0.3318746089935303,9.466917753219604
9,0.5,5,3,10,1.6666666666666667,0.3614685535430908,9.8284592628479
10,0.5,6,3,11,2.0,0.4965355396270752,10.325069189071655
11,0.5,6,4,12,1.5,0.36382102966308594,10.689444780349731
12,0.5,7,4,13,1.75,0.492354154586792,11.18187141418457
13,0.5,7,4,14,1.75,0.4757664203643799,11.657763719558716
14,0.5,7,5,15,1.4,0.3755495548248291,12.033472061157227
15,0.5,7,5,16,1.4,0.45186901092529297,12.485492467880249
16,0.5,7,5,17,1.4,0.24086642265319824,12.726485252380371
17,0.5,8,5,18,1.6,0.43812990188598633,13.164796590805054
18,0.5,8,5,19,1.6,0.5031304359436035,13.668097019195557
19,0.5,8,6,20,1.3333333333333333,0.5104007720947266,14.178659915924072
20,0.5,9,6,21,1.5,0.5520052909851074,14.73074221611023
21,0.5,9,6,22,1.5,0.21879887580871582,14.950018882751465
22,0.5,9,7,23,1.2857142857142858,0.2977416515350342,15.2478346824646
23,0.5,9,7,24,1.2857142857142858,0.4548923969268799,15.702815532684326
24,0.5,9,7,25,1.2857142857142858,0.1298692226409912,15.833417177200317
25,0.5,9,7,26,1.2857142857142858,0.01666736602783203,15.85015869140625
26,0.5,9,8,27,1.125,0.5807032585144043,16.43093705177307
27,0.5,9,8,28,1.125,0.017273426055908203,16.448299407958984
28,0.5,10,8,29,1.25,0.5279781818389893,16.97639751434326
29,0.5,10,8,30,1.25,0.5108280181884766,17.487364053726196
30,0.5,10,8,31,1.25,0.18950629234313965,17.677052974700928
31,0.5,10,8,32,1.25,0.5448849201202393,18.222321271896362
32,0.5,10,8,33,1.25,0.4023873805999756,18.624783515930176
33,0.5,10,8,34,1.25,0.19888567924499512,18.823744773864746
34,0.5,10,8,35,1.25,0.2518768310546875,19.07573127746582
35,0.5,10,8,36,1.25,0.5335502624511719,19.60944414138794
36,0.5,10,8,37,1.25,0.29816412925720215,19.90780997276306
37,0.5,10,8,38,1.25,0.18333745002746582,20.09122061729431
38,0.5,10,8,39,1.25,0.2635815143585205,20.35487651824951
39,0.5,10,8,40,1.25,0.1553637981414795,20.510326385498047
40,0.5,10,8,41,1.25,0.405864953994751,20.9162814617157
41,0.5,11,8,42,1.375,0.3847019672393799,21.30150055885315
42,0.5,11,8,43,1.375,0.06264376640319824,21.364312648773193
43,0.5,11,9,44,1.2222222222222223,0.27768778800964355,21.6420738697052
44,0.5,11,10,45,1.1,0.4498732089996338,22.092053651809692
45,0.5,11,10,46,1.1,0.19407224655151367,22.286319732666016
46,0.5,11,10,47,1.1,0.16758513450622559,22.453978061676025
47,0.5,11,10,48,1.1,0.49419379234313965,22.948245525360107
48,0.5,11,10,49,1.1,0.46248459815979004,23.410926818847656
49,0.5,11,10,50,1.1,0.30811071395874023,23.719111919403076
50,0.5,11,11,51,1.0,0.485248327255249,24.20455241203308
51,0.5,11,11,52,1.0,0.28035688400268555,24.48537826538086
52,0.5,11,11,53,1.0,0.3512539863586426,24.83676815032959
53,0.5,11,11,54,1.0,0.22326397895812988,25.0602285861969
54,0.5,11,11,55,1.0,0.5448980331420898,25.60530400276184
55,0.5,11,11,56,1.0,0.41712427139282227,26.02250385284424
56,0.5,11,11,57,1.0,0.5596039295196533,26.582180738449097
57,0.5,11,12,58,0.9166666666666666,0.3177921772003174,26.900047302246094
58,0.5,11,12,59,0.9166666666666666,0.28786444664001465,27.18806791305542
59,0.5,12,12,60,1.0,0.44525790214538574,27.63339900970459
60,0.5,12,12,61,1.0,0.5654466152191162,28.19891858100891
61,0.5,12,13,62,0.9230769230769231,0.40149831771850586,28.600971221923828
62,0.5,12,13,63,0.9230769230769231,0.2380056381225586,28.839049100875854
63,0.5,12,13,64,0.9230769230769231,0.030763626098632812,28.869969606399536
64,0.5,12,14,65,0.8571428571428571,0.346921443939209,29.21696400642395
65,0.5,12,14,66,0.8571428571428571,0.2788400650024414,29.495878219604492
66,0.5,12,14,67,0.8571428571428571,0.555713415145874,30.051733016967773
67,0.5,12,14,68,0.8571428571428571,0.21480464935302734,30.266610622406006
68,0.5,12,14,69,0.8571428571428571,0.32050132751464844,30.587307453155518
69,0.5,12,14,70,0.8571428571428571,0.2529468536376953,30.84036874771118
