step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,5.0,0,1,1,0.0,6.103542804718018,6.103626489639282
1,5.0,1,1,2,1.0,0.3760390281677246,6.480302810668945
2,5.0,2,1,3,2.0,0.38016819953918457,6.860591888427734
3,5.0,3,1,4,3.0,0.3833804130554199,7.244147777557373
4,5.0,4,1,5,4.0,0.4146735668182373,7.658892631530762
5,5.0,5,1,6,5.0,0.45567846298217773,8.114728212356567
6,5.0,6,1,7,6.0,0.4945545196533203,8.609354257583618
7,5.0,6,2,8,3.0,0.35059165954589844,8.960128784179688
8,5.0,6,3,9,2.0,0.35218167304992676,9.312430620193481
9,5.0,6,4,10,1.5,0.35114622116088867,9.6637282371521
10,5.0,7,4,11,1.75,0.4307534694671631,10.094638586044312
11,5.0,8,4,12,2.0,0.5224142074584961,10.617679595947266
12,5.0,9,4,13,2.25,0.5485880374908447,11.16646933555603
13,5.0,10,4,14,2.5,0.573561429977417,11.740177631378174
14,5.0,11,4,15,2.75,0.6046247482299805,12.34498119354248
15,5.0,12,4,16,3.0,0.6159992218017578,12.961106300354004
16,5.0,12,4,17,3.0,0.59234619140625,13.553576707839966
17,5.0,13,4,18,3.25,0.6410722732543945,14.194817543029785
18,5.0,13,4,19,3.25,0.42797136306762695,14.62297534942627
19,5.0,14,4,20,3.5,0.6316022872924805,15.254647731781006
20,5.0,15,4,21,3.75,0.6570122241973877,15.91183066368103
21,5.0,16,4,22,4.0,0.6865546703338623,16.599087476730347
22,5.0,17,4,23,4.25,0.7170116901397705,17.316288232803345
23,5.0,18,4,24,4.5,0.7250809669494629,18.041531801223755
24,5.0,19,4,25,4.75,0.7399187088012695,18.781522512435913
25,5.0,20,4,26,5.0,0.7548515796661377,19.536447286605835
26,5.0,20,4,27,5.0,0.502692461013794,20.039316654205322
27,5.0,21,4,28,5.25,0.7453179359436035,20.784764051437378
28,5.0,21,4,29,5.25,0.4047720432281494,21.189639568328857
29,5.0,21,4,30,5.25,0.7705550193786621,21.96042013168335
30,5.0,22,4,31,5.5,0.7049686908721924,22.665574073791504
31,5.0,23,4,32,5.75,0.7687933444976807,23.434972286224365
32,5.0,24,4,33,6.0,0.8078494071960449,24.24298119544983
33,5.0,25,4,34,6.25,0.8407847881317139,25.083922386169434
34,5.0,26,4,35,6.5,0.839108943939209,25.923173666000366
35,5.0,26,4,36,6.5,0.8622050285339355,26.785552501678467
36,5.0,27,4,37,6.75,0.8218882083892822,27.60750961303711
37,5.0,28,4,38,7.0,0.8693938255310059,28.477059602737427
38,5.0,29,4,39,7.25,0.8935520648956299,29.370768785476685
39,5.0,30,4,40,7.5,0.9075288772583008,30.27848505973816
40,5.0,31,4,41,7.75,0.9200530052185059,31.198696613311768
41,5.0,32,4,42,8.0,0.9398057460784912,32.13919997215271
42,5.0,32,4,43,8.0,0.5707333087921143,32.71008062362671
43,5.0,33,4,44,8.25,0.9489963054656982,33.65914821624756
44,5.0,33,5,45,6.6,0.8937597274780273,34.552977561950684
45,5.0,33,5,46,6.6,0.9528763294219971,35.50604438781738
46,5.0,34,5,47,6.8,0.9484641551971436,36.45463228225708
47,5.0,35,5,48,7.0,1.0006797313690186,37.45543336868286
48,5.0,35,6,49,5.833333333333333,1.0117201805114746,38.467262744903564
49,5.0,36,6,50,6.0,0.7798817157745361,39.247299909591675
50,5.0,37,6,51,6.166666666666667,0.890272855758667,40.13766145706177
51,5.0,37,6,52,6.166666666666667,0.5585136413574219,40.696778774261475
52,5.0,38,6,53,6.333333333333333,0.8096206188201904,41.50655555725098
53,5.0,39,6,54,6.5,0.9094250202178955,42.416120290756226
54,5.0,40,6,55,6.666666666666667,0.9623608589172363,43.37865209579468
55,5.0,41,6,56,6.833333333333333,0.9728412628173828,44.351672887802124
56,5.0,42,6,57,7.0,0.9768316745758057,45.32865905761719
57,5.0,43,6,58,7.166666666666667,0.9798862934112549,46.30861735343933
58,5.0,43,6,59,7.166666666666667,0.6054604053497314,46.91425442695618
59,5.0,44,6,60,7.333333333333333,0.9435961246490479,47.857993602752686
60,5.0,45,6,61,7.5,0.9615635871887207,48.81962752342224
61,5.0,46,6,62,7.666666666666667,1.10438871383667,49.92469000816345
62,5.0,47,6,63,7.833333333333333,1.1135694980621338,51.0384247303009
63,5.0,48,6,64,8.0,1.00272536277771,52.041348934173584
64,5.0,49,6,65,8.166666666666666,1.028752088546753,53.07032823562622
65,5.0,50,6,66,8.333333333333334,1.0029139518737793,54.07340884208679
66,5.0,51,6,67,8.5,1.010411262512207,55.08400344848633
67,5.0,52,6,68,8.666666666666666,1.0085313320159912,56.092695236206055
68,5.0,53,6,69,8.833333333333334,1.0555710792541504,57.14846158027649
69,5.0,54,6,70,9.0,1.0407483577728271,58.189399003982544
70,5.0,55,6,71,9.166666666666666,1.0282914638519287,59.217774868011475
71,5.0,55,6,72,9.166666666666666,0.40993571281433105,59.62843585014343
72,5.0,55,6,73,9.166666666666666,0.6492176055908203,60.27785086631775
73,5.0,56,6,74,9.333333333333334,1.0255231857299805,61.30357766151428
74,5.0,57,6,75,9.5,1.048499345779419,62.35218286514282
75,5.0,58,6,76,9.666666666666666,1.0470924377441406,63.39934706687927
76,5.0,58,6,77,9.666666666666666,0.6583542823791504,64.05788135528564
77,5.0,59,6,78,9.833333333333334,1.027082920074463,65.08515310287476
78,5.0,60,6,79,10.0,1.0538983345031738,66.139235496521
79,5.0,60,6,80,10.0,1.03499436378479,67.17439985275269
80,5.0,60,6,81,10.0,0.5664100646972656,67.74098181724548
81,5.0,61,6,82,10.166666666666666,0.8707423210144043,68.61235666275024
82,5.0,62,6,83,10.333333333333334,0.9911363124847412,69.60365104675293
83,5.0,63,6,84,10.5,1.0474252700805664,70.65126848220825
84,5.0,64,6,85,10.666666666666666,1.0927734375,71.74411392211914
85,5.0,65,6,86,10.833333333333334,1.0913472175598145,72.83565759658813
86,5.0,66,6,87,11.0,1.0975594520568848,73.9333393573761
87,5.0,67,6,88,11.166666666666666,1.096489667892456,75.0299003124237
88,5.0,67,6,89,11.166666666666666,1.138890266418457,76.16886281967163
89,5.0,68,6,90,11.333333333333334,1.0452351570129395,77.21430540084839
90,5.0,69,6,91,11.5,1.098454475402832,78.31289529800415
91,5.0,70,6,92,11.666666666666666,1.109102725982666,79.4226188659668
92,5.0,71,6,93,11.833333333333334,1.1619696617126465,80.58471345901489
93,5.0,72,6,94,12.0,1.1823880672454834,81.76717710494995
94,5.0,72,6,95,12.0,1.2463996410369873,83.01365208625793
95,5.0,73,6,96,12.166666666666666,1.099931001663208,84.11378240585327
96,5.0,74,6,97,12.333333333333334,1.1104021072387695,85.224365234375
97,5.0,75,6,98,12.5,1.168330192565918,86.39289236068726
98,5.0,76,6,99,12.666666666666666,1.18062424659729,87.57371520996094
99,5.0,77,6,100,12.833333333333334,1.140432357788086,88.714346408844
