step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,0.1,0,1,1,0.0,10.289078712463379,10.289207696914673
1,0.1,1,1,2,1.0,0.6642735004425049,10.953840494155884
2,0.1,2,1,3,2.0,0.6390230655670166,11.593029737472534
3,0.1,2,2,4,1.0,0.1817154884338379,11.774856328964233
4,0.1,2,3,5,0.6666666666666666,0.3798787593841553,12.154852867126465
5,0.1,3,3,6,1.0,0.6424846649169922,12.797450542449951
6,0.1,3,3,7,1.0,0.47197890281677246,13.26954197883606
7,0.1,3,3,8,1.0,0.42470264434814453,13.694356679916382
8,0.1,3,3,9,1.0,0.5067451000213623,14.20121145248413
9,0.1,3,4,10,0.75,0.6946675777435303,14.89599061012268
10,0.1,4,4,11,1.0,0.6201086044311523,15.516263008117676
11,0.1,4,4,12,1.0,0.451585054397583,15.96809458732605
12,0.1,4,4,13,1.0,0.5591819286346436,16.52738904953003
13,0.1,5,4,14,1.25,0.7312440872192383,17.25874948501587
14,0.1,5,5,15,1.0,0.7646210193634033,18.023488521575928
15,0.1,5,5,16,1.0,0.3931419849395752,18.416767597198486
16,0.1,5,6,17,0.8333333333333334,0.13594293594360352,18.552821397781372
17,0.1,5,7,18,0.7142857142857143,0.17070269584655762,18.72363781929016
18,0.1,5,7,19,0.7142857142857143,0.4819831848144531,19.205761194229126
19,0.1,5,8,20,0.625,0.18422412872314453,19.390120029449463
20,0.1,5,8,21,0.625,0.06924176216125488,19.45947575569153
21,0.1,5,8,22,0.625,0.45810770988464355,19.918028354644775
22,0.1,5,8,23,0.625,0.597320556640625,20.515464305877686
23,0.1,5,9,24,0.5555555555555556,0.606501579284668,21.12207841873169
24,0.1,5,9,25,0.5555555555555556,0.46270275115966797,21.584964275360107
25,0.1,5,9,26,0.5555555555555556,0.07462382316589355,21.659709215164185
26,0.1,5,9,27,0.5555555555555556,0.42911791801452637,22.088942050933838
27,0.1,5,9,28,0.5555555555555556,0.4701230525970459,22.559179067611694
28,0.1,5,9,29,0.5555555555555556,0.42796897888183594,22.987260580062866
29,0.1,6,9,30,0.6666666666666666,0.6154959201812744,23.602868795394897
30,0.1,6,9,31,0.6666666666666666,0.18466973304748535,23.787700176239014
31,0.1,6,9,32,0.6666666666666666,0.2933614253997803,24.081488132476807
32,0.1,6,9,33,0.6666666666666666,0.32559967041015625,24.407211542129517
33,0.1,6,9,34,0.6666666666666666,0.02798175811767578,24.43533205986023
34,0.1,6,9,35,0.6666666666666666,0.6134111881256104,25.04885506629944
35,0.1,6,9,36,0.6666666666666666,0.49914097785949707,25.548118352890015
36,0.1,7,9,37,0.7777777777777778,0.7013905048370361,26.249621391296387
37,0.1,7,10,38,0.7,0.5868427753448486,26.836607456207275
38,0.1,7,10,39,0.7,0.5764493942260742,27.413169145584106
39,0.1,7,10,40,0.7,0.5156240463256836,27.92890739440918
40,0.1,7,10,41,0.7,0.6430613994598389,28.572083234786987
41,0.1,7,11,42,0.6363636363636364,0.5537459850311279,29.126365423202515
42,0.1,7,11,43,0.6363636363636364,0.6443991661071777,29.770880460739136
43,0.1,7,12,44,0.5833333333333334,0.5823459625244141,30.353339910507202
44,0.1,7,12,45,0.5833333333333334,0.27922844886779785,30.632686853408813
45,0.1,7,12,46,0.5833333333333334,0.7895514965057373,31.422378540039062
46,0.1,7,12,47,0.5833333333333334,0.08966207504272461,31.512226819992065
47,0.1,7,12,48,0.5833333333333334,0.27347683906555176,31.78584575653076
48,0.1,7,12,49,0.5833333333333334,0.36783289909362793,32.153810024261475
49,0.1,8,12,50,0.6666666666666666,0.6986775398254395,32.852603912353516
50,0.1,8,12,51,0.6666666666666666,0.43212413787841797,33.28484225273132
51,0.1,8,13,52,0.6153846153846154,0.8152759075164795,34.100553035736084
52,0.1,8,13,53,0.6153846153846154,0.572723388671875,34.67342925071716
53,0.1,8,13,54,0.6153846153846154,0.7236151695251465,35.39722776412964
54,0.1,8,13,55,0.6153846153846154,0.339188814163208,35.73654818534851
55,0.1,8,13,56,0.6153846153846154,0.026699304580688477,35.76336693763733
56,0.1,8,13,57,0.6153846153846154,0.5641438961029053,36.327632427215576
57,0.1,8,13,58,0.6153846153846154,0.8857669830322266,37.21356773376465
58,0.1,8,13,59,0.6153846153846154,0.04273700714111328,37.25645303726196
59,0.1,8,14,60,0.5714285714285714,0.2663686275482178,37.523096561431885
60,0.1,8,14,61,0.5714285714285714,0.9057703018188477,38.42901158332825
61,0.1,9,14,62,0.6428571428571429,0.6598303318023682,39.08943319320679
62,0.1,9,14,63,0.6428571428571429,0.31324315071105957,39.40279150009155
63,0.1,9,14,64,0.6428571428571429,0.8747658729553223,40.2777361869812
64,0.1,9,14,65,0.6428571428571429,0.5736727714538574,40.85157060623169
65,0.1,9,14,66,0.6428571428571429,0.4593982696533203,41.31108260154724
66,0.1,9,14,67,0.6428571428571429,0.45067667961120605,41.76187491416931
67,0.1,9,14,68,0.6428571428571429,0.2808866500854492,42.04287600517273
68,0.1,9,14,69,0.6428571428571429,0.5687589645385742,42.61177611351013
69,0.1,9,14,70,0.6428571428571429,0.275162935256958,42.88705515861511
70,0.1,10,14,71,0.7142857142857143,0.6941206455230713,43.58131432533264
71,0.1,10,14,72,0.7142857142857143,0.42624425888061523,44.007904052734375
72,0.1,10,14,73,0.7142857142857143,0.2969553470611572,44.30493640899658
73,0.1,10,14,74,0.7142857142857143,0.3530094623565674,44.65802526473999
74,0.1,10,14,75,0.7142857142857143,0.5760531425476074,45.23417019844055
75,0.1,11,14,76,0.7857142857142857,0.5994486808776855,45.833800077438354
76,0.1,11,14,77,0.7857142857142857,0.06793451309204102,45.90185499191284
77,0.1,11,14,78,0.7857142857142857,0.4694938659667969,46.37152171134949
78,0.1,11,14,79,0.7857142857142857,0.4773435592651367,46.848997831344604
79,0.1,11,14,80,0.7857142857142857,0.0631856918334961,46.912259340286255
80,0.1,11,14,81,0.7857142857142857,0.2881004810333252,47.20043349266052
81,0.1,11,14,82,0.7857142857142857,0.21753931045532227,47.41843581199646
82,0.1,11,14,83,0.7857142857142857,0.31824350357055664,47.73676633834839
83,0.1,11,14,84,0.7857142857142857,0.16766691207885742,47.904510736465454
84,0.1,11,14,85,0.7857142857142857,0.2521343231201172,48.15671968460083
85,0.1,11,14,86,0.7857142857142857,0.361483097076416,48.518356800079346
86,0.1,11,14,87,0.7857142857142857,0.017830610275268555,48.53627252578735
87,0.1,11,14,88,0.7857142857142857,0.2644779682159424,48.80082559585571
88,0.1,11,14,89,0.7857142857142857,0.21120786666870117,49.01226305961609
89,0.1,11,14,90,0.7857142857142857,0.017008066177368164,49.02934646606445
90,0.1,11,14,91,0.7857142857142857,0.17586994171142578,49.20529127120972
91,0.1,11,14,92,0.7857142857142857,0.02056574821472168,49.226393938064575
92,0.1,11,14,93,0.7857142857142857,0.5908465385437012,49.81731700897217
93,0.1,11,14,94,0.7857142857142857,0.031123638153076172,49.84852051734924
94,0.1,11,15,95,0.7333333333333333,0.3925316333770752,50.2411687374115
95,0.1,11,16,96,0.6875,0.22022247314453125,50.46146607398987
96,0.1,11,16,97,0.6875,0.3776364326477051,50.839176654815674
97,0.1,11,16,98,0.6875,0.21698451042175293,51.05623459815979
98,0.1,11,16,99,0.6875,0.11313176155090332,51.169443130493164
99,0.1,11,16,100,0.6875,0.031187772750854492,51.20070457458496
