step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,2.0,0,1,1,0.0,6.108798265457153,6.108876466751099
1,2.0,1,1,2,1.0,0.3881514072418213,6.497620582580566
2,2.0,2,1,3,2.0,0.38066554069519043,6.878461122512817
3,2.0,3,1,4,3.0,0.38440394401550293,7.26304817199707
4,2.0,3,2,5,1.5,0.2872617244720459,7.550487041473389
5,2.0,4,2,6,2.0,0.37584757804870605,7.926469326019287
6,2.0,4,2,7,2.0,0.3568744659423828,8.283469915390015
7,2.0,5,2,8,2.5,0.4222850799560547,8.705824613571167
8,2.0,5,3,9,1.6666666666666667,0.3234291076660156,9.029361248016357
9,2.0,5,4,10,1.25,0.3431205749511719,9.3726224899292
10,2.0,6,4,11,1.5,0.41660332679748535,9.78934359550476
11,2.0,7,4,12,1.75,0.5122554302215576,10.30232858657837
12,2.0,7,4,13,1.75,0.36804914474487305,10.670534610748291
13,2.0,7,4,14,1.75,0.4601879119873047,11.130898714065552
14,2.0,7,5,15,1.4,0.33803653717041016,11.469144582748413
15,2.0,7,5,16,1.4,0.3503139019012451,11.819577693939209
16,2.0,7,6,17,1.1666666666666667,0.3659331798553467,12.18565583229065
17,2.0,8,6,18,1.3333333333333333,0.3941974639892578,12.579999446868896
18,2.0,8,6,19,1.3333333333333333,0.48720216751098633,13.067378282546997
19,2.0,8,6,20,1.3333333333333333,0.4467947483062744,13.51429557800293
20,2.0,8,6,21,1.3333333333333333,0.4156794548034668,13.930144786834717
21,2.0,8,7,22,1.1428571428571428,0.37917184829711914,14.309972286224365
22,2.0,9,7,23,1.2857142857142858,0.43807029724121094,14.74811315536499
23,2.0,10,7,24,1.4285714285714286,0.502410888671875,15.250600337982178
24,2.0,10,8,25,1.25,0.5105206966400146,15.761229276657104
25,2.0,10,9,26,1.1111111111111112,0.5101184844970703,16.271541118621826
26,2.0,10,9,27,1.1111111111111112,0.46326780319213867,16.734967470169067
27,2.0,10,9,28,1.1111111111111112,0.36919546127319336,17.104334831237793
28,2.0,11,9,29,1.2222222222222223,0.48416805267333984,17.58865737915039
29,2.0,11,9,30,1.2222222222222223,0.34279847145080566,17.931530475616455
30,2.0,11,9,31,1.2222222222222223,0.3387947082519531,18.27048945426941
31,2.0,12,9,32,1.3333333333333333,0.5481967926025391,18.819225549697876
32,2.0,12,9,33,1.3333333333333333,0.439319372177124,19.258686065673828
33,2.0,12,10,34,1.2,0.5086517333984375,19.767409801483154
34,2.0,12,11,35,1.0909090909090908,0.5379085540771484,20.30546545982361
35,2.0,12,12,36,1.0,0.3512420654296875,20.65687918663025
