step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,3.0,0,1,1,0.0,6.494771242141724,6.494850158691406
1,3.0,1,1,2,1.0,0.4153754711151123,6.910784721374512
2,3.0,2,1,3,2.0,0.42893528938293457,7.339793682098389
3,3.0,3,1,4,3.0,0.4032735824584961,7.743139982223511
4,3.0,4,1,5,4.0,0.42081499099731445,8.164028406143188
5,3.0,5,1,6,5.0,0.4632425308227539,8.62746810913086
6,3.0,6,1,7,6.0,0.5064828395843506,9.13419222831726
7,3.0,7,1,8,7.0,0.5306980609893799,9.66504716873169
8,3.0,8,1,9,8.0,0.5545127391815186,10.219759702682495
9,3.0,8,2,10,4.0,0.5818328857421875,10.801765203475952
10,3.0,8,3,11,2.6666666666666665,0.5916039943695068,11.393542289733887
11,3.0,8,4,12,2.0,0.37244129180908203,11.76659083366394
12,3.0,9,4,13,2.25,0.42049098014831543,12.187246561050415
13,3.0,9,5,14,1.8,0.5556497573852539,12.742988109588623
14,3.0,9,5,15,1.8,0.44651365280151367,13.189693450927734
15,3.0,10,5,16,2.0,0.5428390502929688,13.732713460922241
16,3.0,11,5,17,2.2,0.5828230381011963,14.315609693527222
17,3.0,12,5,18,2.4,0.6711950302124023,14.986965656280518
18,3.0,12,5,19,2.4,0.43680453300476074,15.423885107040405
19,3.0,13,5,20,2.6,0.5850250720977783,16.008983373641968
20,3.0,14,5,21,2.8,0.6883053779602051,16.697467803955078
21,3.0,15,5,22,3.0,0.6840884685516357,17.382094383239746
22,3.0,15,5,23,3.0,0.4581489562988281,17.840389013290405
23,3.0,16,5,24,3.2,0.6751172542572021,18.515662670135498
24,3.0,16,5,25,3.2,0.5504529476165771,19.06633472442627
25,3.0,17,5,26,3.4,0.6981682777404785,19.764714002609253
26,3.0,18,5,27,3.6,0.7353739738464355,20.50027847290039
27,3.0,19,5,28,3.8,0.7527410984039307,21.253143310546875
28,3.0,19,5,29,3.8,0.5012147426605225,21.754432201385498
29,3.0,20,5,30,4.0,0.7408978939056396,22.495403051376343
30,3.0,21,5,31,4.2,0.7631974220275879,23.2587993144989
31,3.0,21,5,32,4.2,0.38593459129333496,23.6452956199646
32,3.0,21,5,33,4.2,0.35259461402893066,23.998095273971558
33,3.0,22,5,34,4.4,0.7694172859191895,24.767794132232666
34,3.0,22,5,35,4.4,0.45664453506469727,25.224610805511475
35,3.0,23,5,36,4.6,0.741168737411499,25.9659481048584
36,3.0,24,5,37,4.8,0.8028600215911865,26.76887798309326
37,3.0,25,5,38,5.0,0.8154098987579346,27.584468364715576
38,3.0,25,5,39,5.0,0.5152888298034668,28.09990644454956
39,3.0,26,5,40,5.2,0.783118724822998,28.883208990097046
40,3.0,27,5,41,5.4,0.8425352573394775,29.72590208053589
41,3.0,28,5,42,5.6,0.8746662139892578,30.60111689567566
42,3.0,29,5,43,5.8,0.9048662185668945,31.506120204925537
43,3.0,29,6,44,4.833333333333333,0.5401661396026611,32.04635787010193
44,3.0,30,6,45,5.0,0.8709330558776855,32.91748571395874
45,3.0,31,6,46,5.166666666666667,0.9166390895843506,33.83425831794739
46,3.0,31,7,47,4.428571428571429,0.5360381603240967,34.37047362327576
47,3.0,32,7,48,4.571428571428571,0.8040268421173096,35.17467188835144
48,3.0,32,7,49,4.571428571428571,0.8698811531066895,36.044718503952026
49,3.0,32,8,50,4.0,0.530787467956543,36.57566833496094
50,3.0,33,8,51,4.125,0.8330292701721191,37.40884351730347
51,3.0,33,8,52,4.125,0.6084353923797607,38.01775002479553
52,3.0,34,8,53,4.25,0.9951579570770264,39.01307821273804
53,3.0,34,8,54,4.25,0.927701473236084,39.94097352027893
54,3.0,35,8,55,4.375,0.9237539768218994,40.86480355262756
55,3.0,35,8,56,4.375,1.012737512588501,41.87769937515259
56,3.0,36,8,57,4.5,0.8743951320648193,42.75216746330261
57,3.0,36,8,58,4.5,1.0229711532592773,43.77532124519348
58,3.0,37,8,59,4.625,0.8913724422454834,44.666895151138306
59,3.0,37,8,60,4.625,0.44555091857910156,45.11263918876648
60,3.0,38,8,61,4.75,0.9596767425537109,46.07252383232117
61,3.0,39,8,62,4.875,0.9497358798980713,47.02281165122986
62,3.0,39,8,63,4.875,0.5800566673278809,47.60303354263306
63,3.0,40,8,64,5.0,0.93990159034729,48.54310059547424
64,3.0,40,9,65,4.444444444444445,0.4201509952545166,48.96332335472107
65,3.0,41,9,66,4.555555555555555,0.9613325595855713,49.92481732368469
66,3.0,42,9,67,4.666666666666667,0.9715447425842285,50.89643430709839
67,3.0,42,9,68,4.666666666666667,0.5908815860748291,51.48744797706604
68,3.0,43,9,69,4.777777777777778,0.9501283168792725,52.43776726722717
69,3.0,43,9,70,4.777777777777778,0.7929866313934326,53.230825424194336
70,3.0,43,9,71,4.777777777777778,1.0205821990966797,54.2515652179718
71,3.0,43,9,72,4.777777777777778,0.44275975227355957,54.69477367401123
72,3.0,44,9,73,4.888888888888889,0.9056925773620605,55.60067439079285
73,3.0,44,9,74,4.888888888888889,0.537543535232544,56.13834095001221
74,3.0,45,9,75,5.0,0.6492090225219727,56.78770852088928
75,3.0,46,9,76,5.111111111111111,0.8399777412414551,57.62785577774048
76,3.0,46,9,77,5.111111111111111,0.4075131416320801,58.035521030426025
77,3.0,46,9,78,5.111111111111111,0.5406105518341064,58.57629370689392
78,3.0,46,9,79,5.111111111111111,1.0025935173034668,59.57900667190552
79,3.0,46,9,80,5.111111111111111,0.49947428703308105,60.07867169380188
80,3.0,47,9,81,5.222222222222222,0.5762233734130859,60.655054807662964
81,3.0,48,9,82,5.333333333333333,0.7512843608856201,61.40684676170349
82,3.0,48,9,83,5.333333333333333,0.5935118198394775,62.00051736831665
83,3.0,48,9,84,5.333333333333333,0.9862446784973145,62.98695659637451
84,3.0,48,9,85,5.333333333333333,0.834693431854248,63.821815490722656
85,3.0,49,9,86,5.444444444444445,0.6929590702056885,64.51496481895447
86,3.0,50,9,87,5.555555555555555,0.8234753608703613,65.33851599693298
87,3.0,50,10,88,5.0,0.5207555294036865,65.85942029953003
88,3.0,50,11,89,4.545454545454546,0.611699104309082,66.47128033638
89,3.0,50,11,90,4.545454545454546,0.5119595527648926,66.98331356048584
90,3.0,51,11,91,4.636363636363637,0.8367292881011963,67.82023429870605
91,3.0,52,11,92,4.7272727272727275,0.9374771118164062,68.7582471370697
92,3.0,52,11,93,4.7272727272727275,0.45989298820495605,69.21828627586365
93,3.0,53,11,94,4.818181818181818,0.9662418365478516,70.18465447425842
94,3.0,54,11,95,4.909090909090909,1.019197702407837,71.20395755767822
95,3.0,54,12,96,4.5,0.4935340881347656,71.69756555557251
96,3.0,54,12,97,4.5,0.3687725067138672,72.06649804115295
97,3.0,54,12,98,4.5,0.53481125831604,72.60150623321533
98,3.0,54,12,99,4.5,0.8239297866821289,73.42562770843506
99,3.0,54,12,100,4.5,0.44699549674987793,73.87279891967773
