step,eta,height,width,size,aspect_ratio,diffusion_time,elapsed_time
0,1.0,0,1,1,0.0,6.502124309539795,6.502204656600952
1,1.0,1,1,2,1.0,0.3877384662628174,6.89050555229187
2,1.0,1,2,3,0.5,0.29976987838745117,7.190345764160156
3,1.0,2,2,4,1.0,0.3649599552154541,7.555378675460815
4,1.0,2,3,5,0.6666666666666666,0.16557097434997559,7.721095561981201
5,1.0,2,3,6,0.6666666666666666,0.2477250099182129,7.968940258026123
6,1.0,2,4,7,0.5,0.3818514347076416,8.350942611694336
7,1.0,3,4,8,0.75,0.30983877182006836,8.660853147506714
8,1.0,3,5,9,0.6,0.15350103378295898,8.814493417739868
9,1.0,3,5,10,0.6,0.5066771507263184,9.321242570877075
10,1.0,3,5,11,0.6,0.2870049476623535,9.608317375183105
11,1.0,3,5,12,0.6,0.26604390144348145,9.875086784362793
12,1.0,4,5,13,0.8,0.39135217666625977,10.266512632369995
13,1.0,4,5,14,0.8,0.273695707321167,10.540417194366455
14,1.0,5,5,15,1.0,0.4406254291534424,10.981218814849854
15,1.0,5,5,16,1.0,0.28457069396972656,11.265946388244629
16,1.0,6,5,17,1.2,0.4689033031463623,11.735029935836792
17,1.0,7,5,18,1.4,0.5196630954742432,12.254886627197266
18,1.0,8,5,19,1.6,0.5375308990478516,12.792556285858154
19,1.0,8,5,20,1.6,0.5849504470825195,13.377635478973389
20,1.0,9,5,21,1.8,0.47358179092407227,13.851295232772827
21,1.0,9,5,22,1.8,0.2510392665863037,14.103030920028687
22,1.0,10,5,23,2.0,0.571317195892334,14.674419641494751
23,1.0,10,6,24,1.6666666666666667,0.17059898376464844,14.845089197158813
24,1.0,10,6,25,1.6666666666666667,0.42255377769470215,15.267714977264404
25,1.0,10,6,26,1.6666666666666667,0.3833489418029785,15.651235580444336
26,1.0,10,6,27,1.6666666666666667,0.16927170753479004,15.820627689361572
27,1.0,10,6,28,1.6666666666666667,0.3820223808288574,16.202829122543335
28,1.0,10,6,29,1.6666666666666667,0.473452091217041,16.676410675048828
29,1.0,11,6,30,1.8333333333333333,0.5326714515686035,17.20919394493103
30,1.0,11,6,31,1.8333333333333333,0.32738780975341797,17.536789655685425
31,1.0,11,6,32,1.8333333333333333,0.1832578182220459,17.72051477432251
32,1.0,12,6,33,2.0,0.5908322334289551,18.311530590057373
33,1.0,12,7,34,1.7142857142857142,0.6397655010223389,18.95147728919983
34,1.0,12,7,35,1.7142857142857142,0.08435177803039551,19.036020755767822
35,1.0,13,7,36,1.8571428571428572,0.5406303405761719,19.576722621917725
36,1.0,14,7,37,2.0,0.6209995746612549,20.197908639907837
37,1.0,14,7,38,2.0,0.4463188648223877,20.644298553466797
38,1.0,15,7,39,2.142857142857143,0.6630139350891113,21.307488441467285
39,1.0,15,7,40,2.142857142857143,0.6035757064819336,21.911139249801636
40,1.0,15,7,41,2.142857142857143,0.4168546199798584,22.328068017959595
41,1.0,15,7,42,2.142857142857143,0.4255228042602539,22.754217624664307
42,1.0,15,7,43,2.142857142857143,0.41525912284851074,23.16960835456848
43,1.0,16,7,44,2.2857142857142856,0.5526795387268066,23.72245955467224
44,1.0,16,7,45,2.2857142857142856,0.5718162059783936,24.294347286224365
45,1.0,16,7,46,2.2857142857142856,0.3828926086425781,24.677382230758667
46,1.0,17,7,47,2.4285714285714284,0.5991930961608887,25.27676773071289
47,1.0,17,7,48,2.4285714285714284,0.2180473804473877,25.495014667510986
48,1.0,18,7,49,2.5714285714285716,0.6773426532745361,26.17255735397339
49,1.0,18,7,50,2.5714285714285716,0.49288034439086914,26.665595769882202
50,1.0,19,7,51,2.7142857142857144,0.6509482860565186,27.31670379638672
51,1.0,19,7,52,2.7142857142857144,0.26465439796447754,27.58209729194641
52,1.0,19,7,53,2.7142857142857144,0.3776364326477051,27.959858179092407
53,1.0,19,7,54,2.7142857142857144,0.49804258346557617,28.45804238319397
54,1.0,20,7,55,2.857142857142857,0.7440052032470703,29.202208280563354
55,1.0,20,7,56,2.857142857142857,0.1666414737701416,29.369017362594604
56,1.0,21,7,57,3.0,0.759544849395752,30.128633975982666
57,1.0,21,7,58,3.0,0.371349573135376,30.500128030776978
58,1.0,21,7,59,3.0,0.472564697265625,30.972885131835938
59,1.0,22,7,60,3.142857142857143,0.7082147598266602,31.681257963180542
60,1.0,22,7,61,3.142857142857143,0.13954496383666992,31.820963144302368
61,1.0,22,7,62,3.142857142857143,0.4801216125488281,32.30177402496338
62,1.0,22,7,63,3.142857142857143,0.7763261795043945,33.078280210494995
63,1.0,22,7,64,3.142857142857143,0.8169000148773193,33.89525270462036
64,1.0,22,7,65,3.142857142857143,0.6177496910095215,34.513160943984985
65,1.0,23,7,66,3.2857142857142856,0.4824700355529785,34.995803356170654
66,1.0,23,7,67,3.2857142857142856,0.6357190608978271,35.63159513473511
67,1.0,23,7,68,3.2857142857142856,0.6325223445892334,36.264296770095825
